id,precinct,office,candidate,party,votes
505,Oswego 3 2,Governor (DEM),Voids/Blanks,,0
506,Oswego 4 1,Governor (DEM),,,
507,Oswego 4 1,Governor (DEM),Ballots,,61
508,Oswego 4 1,Governor (DEM),Cynthia E. Nixon,,28
509,Oswego 4 1,Governor (DEM),Andrew M. Cuomo,,31
510,Oswego 4 1,Governor (DEM),Write-ins,,2
511,Oswego 4 1,Governor (DEM),Voids/Blanks,,0
512,Oswego 4 2,Governor (DEM),,,
513,Oswego 4 2,Governor (DEM),Ballots,,46
514,Oswego 4 2,Governor (DEM),Cynthia E. Nixon,,23
515,Oswego 4 2,Governor (DEM),Andrew M. Cuomo,,23
516,Oswego 4 2,Governor (DEM),Write-ins,,0
517,Oswego 4 2,Governor (DEM),Voids/Blanks,,0
518,Oswego 4 3,Governor (DEM),,,
519,Oswego 4 3,Governor (DEM),Ballots,,43
520,Oswego 4 3,Governor (DEM),Cynthia E. Nixon,,15
521,Oswego 4 3,Governor (DEM),Andrew M. Cuomo,,27
522,Oswego 4 3,Governor (DEM),Write-ins,,0
523,Oswego 4 3,Governor (DEM),Voids/Blanks,,1
524,Oswego 5 1,Governor (DEM),,,
525,Oswego 5 1,Governor (DEM),Ballots,,55
526,Oswego 5 1,Governor (DEM),Cynthia E. Nixon,,23
527,Oswego 5 1,Governor (DEM),Andrew M. Cuomo,,29
528,Oswego 5 1,Governor (DEM),Write-ins,,0
529,Oswego 5 1,Governor (DEM),Voids/Blanks,,3
530,Oswego 5 2,Governor (DEM),,,
531,Oswego 5 2,Governor (DEM),Ballots,,37
532,Oswego 5 2,Governor (DEM),Cynthia E. Nixon,,16
533,Oswego 5 2,Governor (DEM),Andrew M. Cuomo,,19
534,Oswego 5 2,Governor (DEM),Write-ins,,0
535,Oswego 5 2,Governor (DEM),Voids/Blanks,,2
536,Oswego 5 3,Governor (DEM),,,
537,Oswego 5 3,Governor (DEM),Ballots,,12
538,Oswego 5 3,Governor (DEM),Cynthia E. Nixon,,5
539,Oswego 5 3,Governor (DEM),Andrew M. Cuomo,,7
540,Oswego 5 3,Governor (DEM),Write-ins,,0
541,Oswego 5 3,Governor (DEM),Voids/Blanks,,0
542,Oswego 5 4,Governor (DEM),,,
543,Oswego 5 4,Governor (DEM),Ballots,,10
544,Oswego 5 4,Governor (DEM),Cynthia E. Nixon,,3
545,Oswego 5 4,Governor (DEM),Andrew M. Cuomo,,7
546,Oswego 5 4,Governor (DEM),Write-ins,,0
547,Oswego 5 4,Governor (DEM),Voids/Blanks,,0
548,Oswego 6 1,Governor (DEM),,,
549,Oswego 6 1,Governor (DEM),Ballots,,94
550,Oswego 6 1,Governor (DEM),Cynthia E. Nixon,,44
551,Oswego 6 1,Governor (DEM),Andrew M. Cuomo,,50
552,Oswego 6 1,Governor (DEM),Write-ins,,0
553,Oswego 6 1,Governor (DEM),Voids/Blanks,,0
554,Oswego 6 2,Governor (DEM),,,
555,Oswego 6 2,Governor (DEM),Ballots,,14
556,Oswego 6 2,Governor (DEM),Cynthia E. Nixon,,6
557,Oswego 6 2,Governor (DEM),Andrew M. Cuomo,,8
558,Oswego 6 2,Governor (DEM),Write-ins,,0
559,Oswego 6 2,Governor (DEM),Voids/Blanks,,0
560,Oswego 7 1,Governor (DEM),,,
561,Oswego 7 1,Governor (DEM),Ballots,,84
562,Oswego 7 1,Governor (DEM),Cynthia E. Nixon,,31
563,Oswego 7 1,Governor (DEM),Andrew M. Cuomo,,49
564,Oswego 7 1,Governor (DEM),Write-ins,,0
565,Oswego 7 1,Governor (DEM),Voids/Blanks,,4
566,Oswego 7 2,Governor (DEM),,,
567,Oswego 7 2,Governor (DEM),Ballots,,76
568,Oswego 7 2,Governor (DEM),Cynthia E. Nixon,,32
569,Oswego 7 2,Governor (DEM),Andrew M. Cuomo,,42
570,Oswego 7 2,Governor (DEM),Write-ins,,0
571,Oswego 7 2,Governor (DEM),Voids/Blanks,,2
572,Oswego 7 3,Governor (DEM),,,
573,Oswego 7 3,Governor (DEM),Ballots,,5
574,Oswego 7 3,Governor (DEM),Cynthia E. Nixon,,3
575,Oswego 7 3,Governor (DEM),Andrew M. Cuomo,,2
576,Oswego 7 3,Governor (DEM),Write-ins,,0
577,Oswego 7 3,Governor (DEM),Voids/Blanks,,0
578,Fulton 1 1,Governor (DEM),,,
579,Fulton 1 1,Governor (DEM),Ballots,,47
580,Fulton 1 1,Governor (DEM),Cynthia E. Nixon,,20
581,Fulton 1 1,Governor (DEM),Andrew M. Cuomo,,27
582,Fulton 1 1,Governor (DEM),Write-ins,,0
583,Fulton 1 1,Governor (DEM),Voids/Blanks,,0
584,Fulton 1 2,Governor (DEM),,,
585,Fulton 1 2,Governor (DEM),Ballots,,9
586,Fulton 1 2,Governor (DEM),Cynthia E. Nixon,,3
587,Fulton 1 2,Governor (DEM),Andrew M. Cuomo,,6
588,Fulton 1 2,Governor (DEM),Write-ins,,0
589,Fulton 1 2,Governor (DEM),Voids/Blanks,,0
590,Fulton 2 1,Governor (DEM),,,
591,Fulton 2 1,Governor (DEM),Ballots,,5
592,Fulton 2 1,Governor (DEM),Cynthia E. Nixon,,2
593,Fulton 2 1,Governor (DEM),Andrew M. Cuomo,,3
594,Fulton 2 1,Governor (DEM),Write-ins,,0
595,Fulton 2 1,Governor (DEM),Voids/Blanks,,0
596,Fulton 2 2,Governor (DEM),,,
597,Fulton 2 2,Governor (DEM),Ballots,,28
598,Fulton 2 2,Governor (DEM),Cynthia E. Nixon,,11
599,Fulton 2 2,Governor (DEM),Andrew M. Cuomo,,16
600,Fulton 2 2,Governor (DEM),Write-ins,,0
601,Fulton 2 2,Governor (DEM),Voids/Blanks,,1
602,Fulton 3 1,Governor (DEM),,,
603,Fulton 3 1,Governor (DEM),Ballots,,54
604,Fulton 3 1,Governor (DEM),Cynthia E. Nixon,,25
605,Fulton 3 1,Governor (DEM),Andrew M. Cuomo,,29
606,Fulton 3 1,Governor (DEM),Write-ins,,0
607,Fulton 3 1,Governor (DEM),Voids/Blanks,,0
608,Fulton 3 2,Governor (DEM),,,
609,Fulton 3 2,Governor (DEM),Ballots,,43
610,Fulton 3 2,Governor (DEM),Cynthia E. Nixon,,21
611,Fulton 3 2,Governor (DEM),Andrew M. Cuomo,,20
612,Fulton 3 2,Governor (DEM),Write-ins,,0
613,Fulton 3 2,Governor (DEM),Voids/Blanks,,2
614,Fulton 4 1,Governor (DEM),,,
615,Fulton 4 1,Governor (DEM),Ballots,,7
616,Fulton 4 1,Governor (DEM),Cynthia E. Nixon,,5
617,Fulton 4 1,Governor (DEM),Andrew M. Cuomo,,2
618,Fulton 4 1,Governor (DEM),Write-ins,,0
619,Fulton 4 1,Governor (DEM),Voids/Blanks,,0
620,Fulton 4 2,Governor (DEM),,,
621,Fulton 4 2,Governor (DEM),Ballots,,26
622,Fulton 4 2,Governor (DEM),Cynthia E. Nixon,,9
623,Fulton 4 2,Governor (DEM),Andrew M. Cuomo,,17
624,Fulton 4 2,Governor (DEM),Write-ins,,0
625,Fulton 4 2,Governor (DEM),Voids/Blanks,,0
626,Fulton 4 3,Governor (DEM),,,
627,Fulton 4 3,Governor (DEM),Ballots,,12
628,Fulton 4 3,Governor (DEM),Cynthia E. Nixon,,3
629,Fulton 4 3,Governor (DEM),Andrew M. Cuomo,,9
630,Fulton 4 3,Governor (DEM),Write-ins,,0
631,Fulton 4 3,Governor (DEM),Voids/Blanks,,0
632,Fulton 5 1,Governor (DEM),,,
633,Fulton 5 1,Governor (DEM),Ballots,,38
634,Fulton 5 1,Governor (DEM),Cynthia E. Nixon,,16
635,Fulton 5 1,Governor (DEM),Andrew M. Cuomo,,21
636,Fulton 5 1,Governor (DEM),Write-ins,,0
637,Fulton 5 1,Governor (DEM),Voids/Blanks,,1
638,Fulton 5 2,Governor (DEM),,,
639,Fulton 5 2,Governor (DEM),Ballots,,27
640,Fulton 5 2,Governor (DEM),Cynthia E. Nixon,,15
641,Fulton 5 2,Governor (DEM),Andrew M. Cuomo,,12
642,Fulton 5 2,Governor (DEM),Write-ins,,0
643,Fulton 5 2,Governor (DEM),Voids/Blanks,,0
644,Fulton 5 3,Governor (DEM),,,
645,Fulton 5 3,Governor (DEM),Ballots,,1
646,Fulton 5 3,Governor (DEM),Cynthia E. Nixon,,0
647,Fulton 5 3,Governor (DEM),Andrew M. Cuomo,,1
648,Fulton 5 3,Governor (DEM),Write-ins,,0
649,Fulton 5 3,Governor (DEM),Voids/Blanks,,0
650,Fulton 6 1,Governor (DEM),,,
651,Fulton 6 1,Governor (DEM),Ballots,,29
652,Fulton 6 1,Governor (DEM),Cynthia E. Nixon,,15
653,Fulton 6 1,Governor (DEM),Andrew M. Cuomo,,13
654,Fulton 6 1,Governor (DEM),Write-ins,,0
655,Fulton 6 1,Governor (DEM),Voids/Blanks,,1
656,Fulton 6 2,Governor (DEM),,,
657,Fulton 6 2,Governor (DEM),Ballots,,13
658,Fulton 6 2,Governor (DEM),Cynthia E. Nixon,,7
659,Fulton 6 2,Governor (DEM),Andrew M. Cuomo,,6
660,Fulton 6 2,Governor (DEM),Write-ins,,0
661,Fulton 6 2,Governor (DEM),Voids/Blanks,,0
663,Fulton 6 2,Governor (DEM),Ballots,,"3,437"
664,Fulton 6 2,Governor (DEM),Cynthia E. Nixon,,"1,634"
665,Fulton 6 2,Governor (DEM),Andrew M. Cuomo,,"1,741"
666,Fulton 6 2,Governor (DEM),Write-ins,,8
667,Fulton 6 2,Governor (DEM),Voids/Blanks,,54
670,Fulton 6 2,Governor (DEM),Ballots,,"3,437"
671,Fulton 6 2,Governor (DEM),Cynthia E. Nixon,,"1,634"
672,Fulton 6 2,Governor (DEM),Andrew M. Cuomo,,"1,741"
673,Fulton 6 2,Governor (DEM),Write-ins,,8
674,Fulton 6 2,Governor (DEM),Voids/Blanks,,54
675,Fulton 6 2,Lieutenant Governor (DEM),,,
677,Albion 1,Lieutenant Governor (DEM),,,
678,Albion 1,Lieutenant Governor (DEM),Ballots,,19
679,Albion 1,Lieutenant Governor (DEM),Kathy C. Hochul,,10
680,Albion 1,Lieutenant Governor (DEM),Jumaane Williams,,8
681,Albion 1,Lieutenant Governor (DEM),Write-ins,,0
682,Albion 1,Lieutenant Governor (DEM),Voids/Blanks,,1
683,Albion 2,Lieutenant Governor (DEM),,,
684,Albion 2,Lieutenant Governor (DEM),Ballots,,23
685,Albion 2,Lieutenant Governor (DEM),Kathy C. Hochul,,14
686,Albion 2,Lieutenant Governor (DEM),Jumaane Williams,,5
687,Albion 2,Lieutenant Governor (DEM),Write-ins,,0
688,Albion 2,Lieutenant Governor (DEM),Voids/Blanks,,4
689,Amboy 1,Lieutenant Governor (DEM),,,
690,Amboy 1,Lieutenant Governor (DEM),Ballots,,25
691,Amboy 1,Lieutenant Governor (DEM),Kathy C. Hochul,,14
692,Amboy 1,Lieutenant Governor (DEM),Jumaane Williams,,10
693,Amboy 1,Lieutenant Governor (DEM),Write-ins,,0
694,Amboy 1,Lieutenant Governor (DEM),Voids/Blanks,,1
695,Boylston 1,Lieutenant Governor (DEM),,,
696,Boylston 1,Lieutenant Governor (DEM),Ballots,,20
697,Boylston 1,Lieutenant Governor (DEM),Kathy C. Hochul,,11
698,Boylston 1,Lieutenant Governor (DEM),Jumaane Williams,,8
699,Boylston 1,Lieutenant Governor (DEM),Write-ins,,0
700,Boylston 1,Lieutenant Governor (DEM),Voids/Blanks,,1
701,Constantia 1,Lieutenant Governor (DEM),,,
702,Constantia 1,Lieutenant Governor (DEM),Ballots,,38
703,Constantia 1,Lieutenant Governor (DEM),Kathy C. Hochul,,27
704,Constantia 1,Lieutenant Governor (DEM),Jumaane Williams,,9
705,Constantia 1,Lieutenant Governor (DEM),Write-ins,,0
706,Constantia 1,Lieutenant Governor (DEM),Voids/Blanks,,2
707,Constantia 2,Lieutenant Governor (DEM),,,
708,Constantia 2,Lieutenant Governor (DEM),Ballots,,23
709,Constantia 2,Lieutenant Governor (DEM),Kathy C. Hochul,,12
710,Constantia 2,Lieutenant Governor (DEM),Jumaane Williams,,10
711,Constantia 2,Lieutenant Governor (DEM),Write-ins,,0
712,Constantia 2,Lieutenant Governor (DEM),Voids/Blanks,,1
713,Constantia 3,Lieutenant Governor (DEM),,,
714,Constantia 3,Lieutenant Governor (DEM),Ballots,,21
715,Constantia 3,Lieutenant Governor (DEM),Kathy C. Hochul,,9
716,Constantia 3,Lieutenant Governor (DEM),Jumaane Williams,,12
717,Constantia 3,Lieutenant Governor (DEM),Write-ins,,0
718,Constantia 3,Lieutenant Governor (DEM),Voids/Blanks,,0
719,Constantia 4,Lieutenant Governor (DEM),,,
720,Constantia 4,Lieutenant Governor (DEM),Ballots,,30
721,Constantia 4,Lieutenant Governor (DEM),Kathy C. Hochul,,22
722,Constantia 4,Lieutenant Governor (DEM),Jumaane Williams,,6
723,Constantia 4,Lieutenant Governor (DEM),Write-ins,,0
724,Constantia 4,Lieutenant Governor (DEM),Voids/Blanks,,2
725,Granby 1,Lieutenant Governor (DEM),,,
726,Granby 1,Lieutenant Governor (DEM),Ballots,,44
727,Granby 1,Lieutenant Governor (DEM),Kathy C. Hochul,,30
728,Granby 1,Lieutenant Governor (DEM),Jumaane Williams,,12
729,Granby 1,Lieutenant Governor (DEM),Write-ins,,0
730,Granby 1,Lieutenant Governor (DEM),Voids/Blanks,,2
731,Granby 2,Lieutenant Governor (DEM),,,
732,Granby 2,Lieutenant Governor (DEM),Ballots,,21
733,Granby 2,Lieutenant Governor (DEM),Kathy C. Hochul,,14
734,Granby 2,Lieutenant Governor (DEM),Jumaane Williams,,5
735,Granby 2,Lieutenant Governor (DEM),Write-ins,,0
736,Granby 2,Lieutenant Governor (DEM),Voids/Blanks,,2
737,Granby 3,Lieutenant Governor (DEM),,,
738,Granby 3,Lieutenant Governor (DEM),Ballots,,20
739,Granby 3,Lieutenant Governor (DEM),Kathy C. Hochul,,10
740,Granby 3,Lieutenant Governor (DEM),Jumaane Williams,,7
741,Granby 3,Lieutenant Governor (DEM),Write-ins,,0
742,Granby 3,Lieutenant Governor (DEM),Voids/Blanks,,3
743,Granby 4,Lieutenant Governor (DEM),,,
744,Granby 4,Lieutenant Governor (DEM),Ballots,,21
745,Granby 4,Lieutenant Governor (DEM),Kathy C. Hochul,,9
746,Granby 4,Lieutenant Governor (DEM),Jumaane Williams,,11
747,Granby 4,Lieutenant Governor (DEM),Write-ins,,0
748,Granby 4,Lieutenant Governor (DEM),Voids/Blanks,,1
749,Granby 5,Lieutenant Governor (DEM),,,
750,Granby 5,Lieutenant Governor (DEM),Ballots,,30
751,Granby 5,Lieutenant Governor (DEM),Kathy C. Hochul,,18
752,Granby 5,Lieutenant Governor (DEM),Jumaane Williams,,7
753,Granby 5,Lieutenant Governor (DEM),Write-ins,,0
754,Granby 5,Lieutenant Governor (DEM),Voids/Blanks,,5
755,Hannibal 1,Lieutenant Governor (DEM),,,
756,Hannibal 1,Lieutenant Governor (DEM),Ballots,,10
757,Hannibal 1,Lieutenant Governor (DEM),Kathy C. Hochul,,4
758,Hannibal 1,Lieutenant Governor (DEM),Jumaane Williams,,4
759,Hannibal 1,Lieutenant Governor (DEM),Write-ins,,0
760,Hannibal 1,Lieutenant Governor (DEM),Voids/Blanks,,2
761,Hannibal 2,Lieutenant Governor (DEM),,,
762,Hannibal 2,Lieutenant Governor (DEM),Ballots,,31
763,Hannibal 2,Lieutenant Governor (DEM),Kathy C. Hochul,,13
764,Hannibal 2,Lieutenant Governor (DEM),Jumaane Williams,,16
765,Hannibal 2,Lieutenant Governor (DEM),Write-ins,,0
766,Hannibal 2,Lieutenant Governor (DEM),Voids/Blanks,,2
767,Hannibal 3,Lieutenant Governor (DEM),,,
768,Hannibal 3,Lieutenant Governor (DEM),Ballots,,35
769,Hannibal 3,Lieutenant Governor (DEM),Kathy C. Hochul,,18
770,Hannibal 3,Lieutenant Governor (DEM),Jumaane Williams,,13
771,Hannibal 3,Lieutenant Governor (DEM),Write-ins,,0
772,Hannibal 3,Lieutenant Governor (DEM),Voids/Blanks,,4
773,Hannibal 4,Lieutenant Governor (DEM),,,
774,Hannibal 4,Lieutenant Governor (DEM),Ballots,,35
775,Hannibal 4,Lieutenant Governor (DEM),Kathy C. Hochul,,23
776,Hannibal 4,Lieutenant Governor (DEM),Jumaane Williams,,9
777,Hannibal 4,Lieutenant Governor (DEM),Write-ins,,0
778,Hannibal 4,Lieutenant Governor (DEM),Voids/Blanks,,3
779,Hastings 1,Lieutenant Governor (DEM),,,
780,Hastings 1,Lieutenant Governor (DEM),Ballots,,38
781,Hastings 1,Lieutenant Governor (DEM),Kathy C. Hochul,,21
782,Hastings 1,Lieutenant Governor (DEM),Jumaane Williams,,15
783,Hastings 1,Lieutenant Governor (DEM),Write-ins,,0
784,Hastings 1,Lieutenant Governor (DEM),Voids/Blanks,,2
785,Hastings 2,Lieutenant Governor (DEM),,,
786,Hastings 2,Lieutenant Governor (DEM),Ballots,,24
787,Hastings 2,Lieutenant Governor (DEM),Kathy C. Hochul,,13
788,Hastings 2,Lieutenant Governor (DEM),Jumaane Williams,,10
789,Hastings 2,Lieutenant Governor (DEM),Write-ins,,0
790,Hastings 2,Lieutenant Governor (DEM),Voids/Blanks,,1
791,Hastings 3,Lieutenant Governor (DEM),,,
792,Hastings 3,Lieutenant Governor (DEM),Ballots,,58
793,Hastings 3,Lieutenant Governor (DEM),Kathy C. Hochul,,25
794,Hastings 3,Lieutenant Governor (DEM),Jumaane Williams,,29
795,Hastings 3,Lieutenant Governor (DEM),Write-ins,,0
796,Hastings 3,Lieutenant Governor (DEM),Voids/Blanks,,4
797,Hastings 4,Lieutenant Governor (DEM),,,
798,Hastings 4,Lieutenant Governor (DEM),Ballots,,13
799,Hastings 4,Lieutenant Governor (DEM),Kathy C. Hochul,,10
800,Hastings 4,Lieutenant Governor (DEM),Jumaane Williams,,3
801,Hastings 4,Lieutenant Governor (DEM),Write-ins,,0
802,Hastings 4,Lieutenant Governor (DEM),Voids/Blanks,,0
803,Hastings 5,Lieutenant Governor (DEM),,,
804,Hastings 5,Lieutenant Governor (DEM),Ballots,,22
805,Hastings 5,Lieutenant Governor (DEM),Kathy C. Hochul,,12
806,Hastings 5,Lieutenant Governor (DEM),Jumaane Williams,,9
807,Hastings 5,Lieutenant Governor (DEM),Write-ins,,0
808,Hastings 5,Lieutenant Governor (DEM),Voids/Blanks,,1
809,Hastings 6,Lieutenant Governor (DEM),,,
810,Hastings 6,Lieutenant Governor (DEM),Ballots,,1
811,Hastings 6,Lieutenant Governor (DEM),Kathy C. Hochul,,0
812,Hastings 6,Lieutenant Governor (DEM),Jumaane Williams,,1
813,Hastings 6,Lieutenant Governor (DEM),Write-ins,,0
814,Hastings 6,Lieutenant Governor (DEM),Voids/Blanks,,0
815,Hastings 7,Lieutenant Governor (DEM),,,
816,Hastings 7,Lieutenant Governor (DEM),Ballots,,22
817,Hastings 7,Lieutenant Governor (DEM),Kathy C. Hochul,,13
818,Hastings 7,Lieutenant Governor (DEM),Jumaane Williams,,9
819,Hastings 7,Lieutenant Governor (DEM),Write-ins,,0
820,Hastings 7,Lieutenant Governor (DEM),Voids/Blanks,,0
821,Hastings 8,Lieutenant Governor (DEM),,,
822,Hastings 8,Lieutenant Governor (DEM),Ballots,,60
823,Hastings 8,Lieutenant Governor (DEM),Kathy C. Hochul,,33
824,Hastings 8,Lieutenant Governor (DEM),Jumaane Williams,,24
825,Hastings 8,Lieutenant Governor (DEM),Write-ins,,1
826,Hastings 8,Lieutenant Governor (DEM),Voids/Blanks,,2
827,Mexico 1,Lieutenant Governor (DEM),,,
828,Mexico 1,Lieutenant Governor (DEM),Ballots,,29
829,Mexico 1,Lieutenant Governor (DEM),Kathy C. Hochul,,15
830,Mexico 1,Lieutenant Governor (DEM),Jumaane Williams,,12
831,Mexico 1,Lieutenant Governor (DEM),Write-ins,,0
832,Mexico 1,Lieutenant Governor (DEM),Voids/Blanks,,2
833,Mexico 2,Lieutenant Governor (DEM),,,
834,Mexico 2,Lieutenant Governor (DEM),Ballots,,27
835,Mexico 2,Lieutenant Governor (DEM),Kathy C. Hochul,,13
836,Mexico 2,Lieutenant Governor (DEM),Jumaane Williams,,14
837,Mexico 2,Lieutenant Governor (DEM),Write-ins,,0
838,Mexico 2,Lieutenant Governor (DEM),Voids/Blanks,,0
839,Mexico 3,Lieutenant Governor (DEM),,,
840,Mexico 3,Lieutenant Governor (DEM),Ballots,,41
841,Mexico 3,Lieutenant Governor (DEM),Kathy C. Hochul,,21
842,Mexico 3,Lieutenant Governor (DEM),Jumaane Williams,,18
843,Mexico 3,Lieutenant Governor (DEM),Write-ins,,0
844,Mexico 3,Lieutenant Governor (DEM),Voids/Blanks,,2
845,Mexico 4,Lieutenant Governor (DEM),,,
846,Mexico 4,Lieutenant Governor (DEM),Ballots,,12
847,Mexico 4,Lieutenant Governor (DEM),Kathy C. Hochul,,8
848,Mexico 4,Lieutenant Governor (DEM),Jumaane Williams,,0
849,Mexico 4,Lieutenant Governor (DEM),Write-ins,,0
850,Mexico 4,Lieutenant Governor (DEM),Voids/Blanks,,4
851,Minetto 1,Lieutenant Governor (DEM),,,
852,Minetto 1,Lieutenant Governor (DEM),Ballots,,77
853,Minetto 1,Lieutenant Governor (DEM),Kathy C. Hochul,,44
854,Minetto 1,Lieutenant Governor (DEM),Jumaane Williams,,26
855,Minetto 1,Lieutenant Governor (DEM),Write-ins,,0
856,Minetto 1,Lieutenant Governor (DEM),Voids/Blanks,,7
857,Minetto 2,Lieutenant Governor (DEM),,,
858,Minetto 2,Lieutenant Governor (DEM),Ballots,,22
859,Minetto 2,Lieutenant Governor (DEM),Kathy C. Hochul,,11
860,Minetto 2,Lieutenant Governor (DEM),Jumaane Williams,,8
861,Minetto 2,Lieutenant Governor (DEM),Write-ins,,0
862,Minetto 2,Lieutenant Governor (DEM),Voids/Blanks,,3
863,New Haven 1,Lieutenant Governor (DEM),,,
864,New Haven 1,Lieutenant Governor (DEM),Ballots,,43
865,New Haven 1,Lieutenant Governor (DEM),Kathy C. Hochul,,22
866,New Haven 1,Lieutenant Governor (DEM),Jumaane Williams,,19
867,New Haven 1,Lieutenant Governor (DEM),Write-ins,,0
868,New Haven 1,Lieutenant Governor (DEM),Voids/Blanks,,2
869,New Haven 2,Lieutenant Governor (DEM),,,
870,New Haven 2,Lieutenant Governor (DEM),Ballots,,11
871,New Haven 2,Lieutenant Governor (DEM),Kathy C. Hochul,,4
872,New Haven 2,Lieutenant Governor (DEM),Jumaane Williams,,5
873,New Haven 2,Lieutenant Governor (DEM),Write-ins,,0
874,New Haven 2,Lieutenant Governor (DEM),Voids/Blanks,,2
875,New Haven 3,Lieutenant Governor (DEM),,,
876,New Haven 3,Lieutenant Governor (DEM),Ballots,,22
877,New Haven 3,Lieutenant Governor (DEM),Kathy C. Hochul,,11
878,New Haven 3,Lieutenant Governor (DEM),Jumaane Williams,,8
879,New Haven 3,Lieutenant Governor (DEM),Write-ins,,0
880,New Haven 3,Lieutenant Governor (DEM),Voids/Blanks,,3
881,Orwell 1,Lieutenant Governor (DEM),,,
882,Orwell 1,Lieutenant Governor (DEM),Ballots,,20
883,Orwell 1,Lieutenant Governor (DEM),Kathy C. Hochul,,15
884,Orwell 1,Lieutenant Governor (DEM),Jumaane Williams,,4
885,Orwell 1,Lieutenant Governor (DEM),Write-ins,,0
886,Orwell 1,Lieutenant Governor (DEM),Voids/Blanks,,1
887,Oswego Town 1,Lieutenant Governor (DEM),,,
888,Oswego Town 1,Lieutenant Governor (DEM),Ballots,,4
889,Oswego Town 1,Lieutenant Governor (DEM),Kathy C. Hochul,,3
890,Oswego Town 1,Lieutenant Governor (DEM),Jumaane Williams,,1
891,Oswego Town 1,Lieutenant Governor (DEM),Write-ins,,0
892,Oswego Town 1,Lieutenant Governor (DEM),Voids/Blanks,,0
893,Oswego Town 2,Lieutenant Governor (DEM),,,
894,Oswego Town 2,Lieutenant Governor (DEM),Ballots,,5
895,Oswego Town 2,Lieutenant Governor (DEM),Kathy C. Hochul,,3
896,Oswego Town 2,Lieutenant Governor (DEM),Jumaane Williams,,1
897,Oswego Town 2,Lieutenant Governor (DEM),Write-ins,,0
898,Oswego Town 2,Lieutenant Governor (DEM),Voids/Blanks,,1
899,Oswego Town 3,Lieutenant Governor (DEM),,,
900,Oswego Town 3,Lieutenant Governor (DEM),Ballots,,74
901,Oswego Town 3,Lieutenant Governor (DEM),Kathy C. Hochul,,39
902,Oswego Town 3,Lieutenant Governor (DEM),Jumaane Williams,,31
903,Oswego Town 3,Lieutenant Governor (DEM),Write-ins,,0
904,Oswego Town 3,Lieutenant Governor (DEM),Voids/Blanks,,4
905,Oswego Town 4,Lieutenant Governor (DEM),,,
906,Oswego Town 4,Lieutenant Governor (DEM),Ballots,,47
907,Oswego Town 4,Lieutenant Governor (DEM),Kathy C. Hochul,,21
908,Oswego Town 4,Lieutenant Governor (DEM),Jumaane Williams,,20
909,Oswego Town 4,Lieutenant Governor (DEM),Write-ins,,0
910,Oswego Town 4,Lieutenant Governor (DEM),Voids/Blanks,,6
911,Oswego Town 5,Lieutenant Governor (DEM),,,
912,Oswego Town 5,Lieutenant Governor (DEM),Ballots,,33
913,Oswego Town 5,Lieutenant Governor (DEM),Kathy C. Hochul,,18
914,Oswego Town 5,Lieutenant Governor (DEM),Jumaane Williams,,12
915,Oswego Town 5,Lieutenant Governor (DEM),Write-ins,,0
916,Oswego Town 5,Lieutenant Governor (DEM),Voids/Blanks,,3
917,Oswego Town 6,Lieutenant Governor (DEM),,,
918,Oswego Town 6,Lieutenant Governor (DEM),Ballots,,23
919,Oswego Town 6,Lieutenant Governor (DEM),Kathy C. Hochul,,11
920,Oswego Town 6,Lieutenant Governor (DEM),Jumaane Williams,,10
921,Oswego Town 6,Lieutenant Governor (DEM),Write-ins,,0
922,Oswego Town 6,Lieutenant Governor (DEM),Voids/Blanks,,2
923,Oswego Town 7,Lieutenant Governor (DEM),,,
924,Oswego Town 7,Lieutenant Governor (DEM),Ballots,,56
925,Oswego Town 7,Lieutenant Governor (DEM),Kathy C. Hochul,,33
926,Oswego Town 7,Lieutenant Governor (DEM),Jumaane Williams,,20
927,Oswego Town 7,Lieutenant Governor (DEM),Write-ins,,0
928,Oswego Town 7,Lieutenant Governor (DEM),Voids/Blanks,,3
929,Palermo 1,Lieutenant Governor (DEM),,,
930,Palermo 1,Lieutenant Governor (DEM),Ballots,,48
931,Palermo 1,Lieutenant Governor (DEM),Kathy C. Hochul,,29
932,Palermo 1,Lieutenant Governor (DEM),Jumaane Williams,,18
933,Palermo 1,Lieutenant Governor (DEM),Write-ins,,0
934,Palermo 1,Lieutenant Governor (DEM),Voids/Blanks,,1
935,Palermo 2,Lieutenant Governor (DEM),,,
936,Palermo 2,Lieutenant Governor (DEM),Ballots,,17
937,Palermo 2,Lieutenant Governor (DEM),Kathy C. Hochul,,14
938,Palermo 2,Lieutenant Governor (DEM),Jumaane Williams,,2
939,Palermo 2,Lieutenant Governor (DEM),Write-ins,,0
